Date,ARS,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,DZD,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,JPY,KRW,MAD,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,ZAR,ISK
2017-12-29,18.9302,1.2796,1.6308,3.3127,1.254,0.97574,6.5075,21.292,6.2077,114.77,0.83382,0.73979,7.8146,6.2036,258.76,13540,3.4716,63.876,112.57,1066.96,9.3585,19.729,4.047,8.205,1.405,49.858,3.4829,3.8843,57.86,8.208,1.3361,32.62,3.7909,29.654,12.345,
2018-01-02,18.6142,1.2775,1.6211,3.2743,1.2539,0.97124,6.493,21.131,6.1697,114.55,0.82884,0.73728,7.8146,6.1865,255.77,13482,3.4557,63.489,112.18,1062.24,9.3235,19.5218,4.0195,8.1018,1.4053,49.84,3.4507,3.8562,57.288,8.1461,1.3287,32.42,3.758,29.562,12.3498,
2018-01-03,18.4047,1.2758,1.6267,3.2634,1.2515,0.97613,6.5015,21.247,6.1916,114.73,0.83174,0.73725,7.8171,6.189,257.25,13455,3.459,63.5,112.26,1065.78,9.3398,19.4494,4.015,8.1045,1.4091,49.894,3.4644,3.8555,57.47,8.1718,1.3298,32.529,3.768,29.572,12.38,
2018-01-04,18.4749,1.2763,1.6211,3.2375,1.2527,0.97497,6.4965,21.148,6.1707,114.6,0.82884,0.73852,7.8179,6.1629,255.72,13420,3.4462,63.405,112.66,1063.52,9.3189,19.3303,4.012,8.0941,1.4055,49.782,3.4443,3.8367,57.133,8.1409,1.3297,32.22,3.7602,29.605,12.3063,
2018-01-05,18.665,1.2753,1.6237,3.2426,1.251,0.97609,6.4883,21.249,6.1817,114.56,0.83022,0.73792,7.8197,6.1727,256.35,13420,3.4373,63.37,113.28,1063.68,9.31,19.3665,4.0,8.0878,1.3978,49.867,3.4499,3.8482,57.096,8.1626,1.3278,32.19,3.7465,29.51,12.3608,
2018-01-08,18.9501,1.277,1.6335,3.2427,1.2428,0.97795,6.4993,21.318,6.2196,114.66,0.83521,0.73844,7.8223,6.2157,257.95,13434,3.4417,63.508,113.04,1067.29,9.3591,19.2784,4.0031,8.0834,1.395,50.192,3.4797,3.8592,57.109,8.1989,1.3327,32.21,3.749,29.567,12.4383,
2018-01-09,19.0496,1.2774,1.6391,3.2326,1.2425,0.98282,6.5257,21.4,6.2411,115.01,0.83808,0.73978,7.8212,6.2416,259.27,13442,3.4442,63.713,112.56,1068.4,9.3887,19.2181,4.0095,8.1055,1.3913,50.28,3.5028,3.8996,57.035,8.2373,1.3352,32.25,3.7582,29.593,12.3483,
2018-01-10,18.9401,1.2749,1.6309,3.2482,1.2451,0.97774,6.504,21.323,6.2099,114.97,0.83389,0.73941,7.8226,6.2119,258.44,13431,3.4297,63.595,111.42,1068.17,9.336,19.2879,4.003,8.0427,1.3888,50.554,3.4868,3.8688,57.036,8.1813,1.3326,32.11,3.7982,29.581,12.4428,
2018-01-11,18.6053,1.2716,1.6275,3.2336,1.256,0.97662,6.5014,21.259,6.1974,114.77,0.83215,0.74124,7.8224,6.2027,257.49,13399,3.423,63.688,111.67,1067.1,9.3195,19.3934,3.9864,8.0498,1.3858,50.419,3.4772,3.8623,56.973,8.172,1.3319,32.005,3.7986,29.582,12.461,
2018-01-12,18.6949,1.2702,1.6114,3.2099,1.2519,0.97116,6.461,21.027,6.1372,114.4,0.82393,0.73315,7.8242,6.1345,254.38,13331,3.4005,63.601,111.13,1062.49,9.2613,19.1118,3.9759,7.9583,1.3781,50.378,3.4376,3.82,56.61,8.1033,1.3268,31.97,3.756,29.624,12.3985,
2018-01-15,18.6853,1.2571,1.5931,3.196,1.2432,0.96107,6.4381,20.796,6.0679,113.97,0.81453,0.72528,7.8236,6.0552,251.61,13307,3.3996,63.517,110.62,1063.57,9.2147,18.832,3.956,7.8772,1.3707,50.3,3.3955,3.7695,56.433,8.0097,1.3214,31.925,3.7828,29.554,12.3022,
2018-01-16,18.7326,1.2575,1.5992,3.2137,1.2424,0.96443,6.4415,20.863,6.0909,114.21,0.81766,0.72657,7.8234,6.0699,252.45,13338,3.415,64.047,110.71,1064.92,9.2383,18.7727,3.9649,7.8747,1.3743,50.645,3.4107,3.8007,56.439,8.0317,1.3234,31.98,3.797,29.591,12.2625,
2018-01-17,18.8863,1.2549,1.6027,3.2367,1.2444,0.96484,6.4351,20.853,6.1025,114.32,0.81947,0.72579,7.819,6.0859,253.03,13359,3.4558,63.928,110.8,1068.3,9.2501,18.7978,3.9613,7.8849,1.3767,50.821,3.4183,3.8164,56.86,8.0656,1.3237,31.96,3.8232,29.573,12.335,
2018-01-18,18.85,1.2514,1.5985,3.2138,1.2447,0.9602,6.4227,20.732,6.087,114.21,0.81733,0.72095,7.8176,6.0817,252.15,13343,3.4287,63.85,111.21,1067.93,9.2327,18.649,3.9555,7.8474,1.3698,50.73,3.4054,3.7989,56.57,8.0347,1.322,31.92,3.7903,29.541,12.2628,
2018-01-19,18.9196,1.2486,1.5959,3.2078,1.2441,0.95945,6.404,20.753,6.0754,114.13,0.81599,0.72105,7.8184,6.0671,252.31,13314,3.4139,63.843,110.6,1066.44,9.2233,18.6177,3.938,7.8534,1.3734,50.704,3.404,3.802,56.574,8.0239,1.3201,31.88,3.799,29.361,12.2034,
2018-01-22,18.9885,1.249,1.598,3.1933,1.2477,0.96119,6.4036,20.753,6.0824,114.05,0.81706,0.71971,7.8184,6.0753,253.0,13352,3.4199,63.912,110.84,1070.33,9.2336,18.6339,3.935,7.862,1.3692,50.893,3.4077,3.8132,56.608,8.035,1.3196,31.86,3.8036,29.288,12.1,
2018-01-23,19.195,1.2544,1.5967,3.2209,1.2482,0.96163,6.4059,20.739,6.0768,114.03,0.81639,0.71704,7.8178,6.0663,253.19,13344,3.4189,63.775,110.5,1075.88,9.2283,18.8277,3.9312,7.8684,1.3652,51.025,3.404,3.8134,56.495,8.0368,1.3195,31.83,3.7795,29.277,12.1276,
2018-01-24,19.4446,1.2395,1.5834,3.1928,1.2329,0.95005,6.373,20.542,6.0274,113.68,0.80959,0.70582,7.817,6.0172,250.17,13318,3.4097,63.693,109.4,1064.87,9.1817,18.5427,3.9094,7.7943,1.3501,50.834,3.3649,3.7766,56.324,7.9601,1.31,31.6,3.7454,29.129,11.9659,
2018-01-25,19.5503,1.2378,1.5764,3.1485,1.2323,0.9414,6.331,20.457,6.0002,113.48,0.806,0.70152,7.8178,5.9841,249.34,13293,3.4036,63.565,108.91,1059.41,9.156,18.442,3.8855,7.7261,1.3559,50.93,3.3424,3.7634,55.841,7.9139,1.3059,31.42,3.7406,29.058,11.8976,
2018-01-26,19.5803,1.2367,1.5727,3.148,1.2323,0.93535,6.3278,20.39,5.9849,113.26,0.80412,0.70228,7.8178,5.9657,249.12,13315,3.3894,63.61,109.32,1064.39,9.1411,18.5486,3.8742,7.6918,1.3624,51.055,3.3308,3.7523,55.906,7.8807,1.3074,31.39,3.75,29.129,11.8915,
2018-01-29,19.55,1.2361,1.5799,3.1674,1.2335,0.93408,6.3319,20.435,6.0124,113.56,0.80782,0.7104,7.8183,5.9955,249.89,13399,3.4034,63.58,108.85,1070.15,9.17,18.6057,3.8869,7.7186,1.3637,51.411,3.3473,3.7588,56.437,7.9023,1.3103,31.44,3.777,29.19,11.9763,
2018-01-30,19.5822,1.2354,1.5746,3.1624,1.2321,0.93302,6.3253,20.393,5.9911,113.41,0.80509,0.70791,7.8188,5.9728,249.88,13389,3.3996,63.648,108.67,1070.16,9.1558,18.6209,3.9005,7.6989,1.3636,51.327,3.337,3.7447,56.025,7.8758,1.3107,31.41,3.7705,29.212,11.9136,
2018-01-31,19.6307,1.2328,1.57,3.1603,1.2274,0.93369,6.2888,20.287,5.9741,113.41,0.80276,0.70571,7.8199,5.9665,249.38,13376,3.4056,63.563,108.85,1065.29,9.1378,18.6449,3.8997,7.676,1.3489,51.274,3.3317,3.7365,56.251,7.8386,1.3075,31.31,3.7515,29.131,11.8664,
2018-02-01,19.5602,1.2495,1.5698,3.1694,1.2319,0.93129,6.2967,20.28,5.9738,113.48,0.80263,0.70246,7.82,5.9656,248.86,13418,3.4284,64.023,109.66,1071.08,9.1421,18.5657,3.904,7.6816,1.36,51.633,3.3344,3.7361,56.282,7.8682,1.3125,31.36,3.7464,29.245,11.8986,100.34
2018-02-02,19.43,1.2512,1.5656,3.2015,1.2317,0.92827,6.288,20.167,5.9581,113.2,0.80051,0.70325,7.8204,5.9517,247.75,13466,3.434,64.057,109.85,1084.83,9.125,18.4566,3.887,7.6579,1.3577,51.625,3.3254,3.719,56.271,7.8629,1.3136,31.4,3.746,29.279,11.9741,100.22
2018-02-05,19.4751,1.2592,1.5722,3.2294,1.2434,0.9324,6.29,20.254,5.9834,113.36,0.80386,0.71196,7.8206,5.9751,248.87,13495,3.4415,64.103,109.86,1087.33,9.1491,18.5884,3.9033,7.7257,1.3686,51.583,3.3428,3.7245,56.67,7.905,1.3173,31.53,3.76,29.332,12.0285,100.48
2018-02-06,19.6602,1.2757,1.5863,3.2753,1.2562,0.93852,6.2816,20.466,6.0369,113.76,0.8111,0.72094,7.8192,6.0311,251.97,13575,3.4853,64.273,109.47,1086.78,9.2018,18.8109,3.915,7.868,1.3752,51.54,3.3777,3.7671,57.353,8.0043,1.3232,31.585,3.7835,29.344,12.0625,101.39
