Currency,Model,MAE,RMSE,MAPE (%)
EUR,XGBoost (Main),0.00337519400833918,0.004717256876408202,0.37690215811842687
EUR,Random Forest (Baseline),0.0034111177397370533,0.004680987234127078,0.3808734238330674
INR,XGBoost (Main),4.006823711842999,5.034801405427709,4.449913642731016
INR,Random Forest (Baseline),3.933795534931819,4.963297984013105,4.367467027154642
GBP,XGBoost (Main),0.002823375496080784,0.0038177436953038095,0.3715449514432445
GBP,Random Forest (Baseline),0.0028338801894938685,0.003820730935407505,0.3732598645155388
JPY,XGBoost (Main),0.8627017254896566,1.1154589530122763,0.569341335010446
JPY,Random Forest (Baseline),0.7764194504586384,1.0311554145824555,0.5143567541730729
AUD,XGBoost (Main),0.00812162011464437,0.010624359324807302,0.5328354074015493
AUD,Random Forest (Baseline),0.00812145652755949,0.010721669810165212,0.5322195693035315
